This is an RPBCAC agent
This is an RPBCAC agent
This is an RPBCAC agent
This is an RPBCAC agent
This is a greedy agent
{'n_agents': 5, 'agent_label': ['Cooperative', 'Cooperative', 'Cooperative', 'Cooperative', 'Greedy'], 'n_actions': 5, 'n_states': 2, 'n_episodes': 10000, 'max_ep_len': 20, 'slow_lr': 0.002, 'fast_lr': 0.01, 'gamma': 0.9, 'H': 1, 'eps': 0.05, 'n_ep_fixed': 100, 'n_epochs': 20, 'in_nodes': [[0, 1, 2, 3], [1, 2, 3, 4], [2, 3, 4, 0], [3, 4, 0, 1], [4, 0, 1, 2]], 'randomize_state': True, 'scaling': True, 'resilient_method': 'projection-based', 'summary_dir': './simulation_results/', 'random_seed': 50, 'desired_state': array([[0, 0],
       [3, 5],
       [1, 4],
       [5, 5],
       [5, 2]]), 'initial_state': array([[2, 4],
       [3, 4],
       [3, 2],
       [2, 4],
       [3, 1]])}
| Episode: 65 | Est. returns: 0.6341532468795776 | Returns: [-3.72454126 -2.39260121 -6.43531539 -3.9447304  -1.42424164] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 66 | Est. returns: 1.293287754058838 | Returns: [-5.08124238 -5.72638974 -3.57497778 -6.18261381 -4.4261412 ] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 67 | Est. returns: 1.3378101587295532 | Returns: [-4.3413151  -3.39612259 -1.82711404 -4.32820922 -4.3962931 ] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 68 | Est. returns: 1.011338710784912 | Returns: [-2.87461018 -1.92682103 -3.76272333 -3.534899   -3.46057411] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 69 | Est. returns: 1.125572681427002 | Returns: [-1.35332218 -1.94316386 -1.1070349  -4.79587573 -1.93852025] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 70 | Est. returns: 1.698495626449585 | Returns: [-1.95410029 -1.87172399 -4.35914236 -4.72814008 -3.16880975] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 71 | Est. returns: 1.5810904502868652 | Returns: [-3.85930877 -5.0527802  -4.31639695 -3.69966076 -2.84980374] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 72 | Est. returns: 0.12750355899333954 | Returns: [-5.92032494 -2.0031803  -3.47972798 -3.30999915 -1.98350485] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 73 | Est. returns: 0.5028601884841919 | Returns: [-4.19631158 -4.91444502 -3.78801789 -2.67519938 -2.00695096] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 74 | Est. returns: 2.0975723266601562 | Returns: [-1.38277616 -5.99287544 -2.87803943 -5.45103193 -3.14397518] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 75 | Est. returns: 1.1520503759384155 | Returns: [-1.45128382 -2.30137791 -4.22157022 -1.4306315  -4.28713444] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 76 | Est. returns: 0.6641896367073059 | Returns: [-5.40773433 -5.56113271 -4.23275665 -4.44847984 -5.37833198] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 77 | Est. returns: 0.30834272503852844 | Returns: [-6.59448678 -5.49103356 -2.73461218 -2.45752896 -3.84904346] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 78 | Est. returns: 0.6796083450317383 | Returns: [-4.18456891 -4.71666736 -3.19513882 -5.83937595 -2.58228831] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
